CONSUMER_SPENDING,TBL1,TBL2,TBL3,TBL4,TBL5,TBL6,TBL7,BOND1,BOND2,BOND3,BOND4,BOND5,BOND6,BOND7,DEBT1,DEBT2,DEBT3,DEBT4,DEBT5,DEBT6,DEBT7,DLSP1,DLSP2,DLSP3,DLSP4,DLSP5,DLSP6,DLSP7
6.9,5.82,7.35,8.23,8.16,7.62,7.5,8.34,7.54,7.67,7.96,7.54,7.05,6.75,7.21,0.974866514,0.97424352,0.968233481,0.95500774,0.954760249,0.954889534,0.949619885,0.130035901,-0.012025506,-0.203756821,-0.08428566,-0.051084042,-0.061364995,0.01481788
5.8,5.39,5.82,7.35,8.23,8.16,7.62,7.5,8.05,7.54,7.67,7.96,7.54,7.05,6.75,0.9620682,0.974866514,0.97424352,0.968233481,0.95500774,0.954760249,0.954889534,0.123164971,0.130035901,-0.012025506,-0.203756821,-0.08428566,-0.051084042,-0.061364995
4.3,6.31,5.39,5.82,7.35,8.23,8.16,7.62,8.3,8.05,7.54,7.67,7.96,7.54,7.05,0.959342166,0.9620682,0.974866514,0.97424352,0.968233481,0.95500774,0.954760249,-0.053056697,0.123164971,0.130035901,-0.012025506,-0.203756821,-0.08428566,-0.051084042
8.2,5.68,6.31,5.39,5.82,7.35,8.23,8.16,8.06,8.3,8.05,7.54,7.67,7.96,7.54,0.95361252,0.959342166,0.9620682,0.974866514,0.97424352,0.968233481,0.95500774,0.041404487,-0.053056697,0.123164971,0.130035901,-0.012025506,-0.203756821,-0.08428566
3.7,4.94,5.68,6.31,5.39,5.82,7.35,8.23,7.75,8.06,8.3,8.05,7.54,7.67,7.96,0.949948496,0.95361252,0.959342166,0.9620682,0.974866514,0.97424352,0.968233481,0.114693088,0.041404487,-0.053056697,0.123164971,0.130035901,-0.012025506,-0.203756821
4.3,5.14,4.94,5.68,6.31,5.39,5.82,7.35,7.77,7.75,8.06,8.3,8.05,7.54,7.67,0.936087324,0.949948496,0.95361252,0.959342166,0.9620682,0.974866514,0.97424352,0.009057561,0.114693088,0.041404487,-0.053056697,0.123164971,0.130035901,-0.012025506
5.3,5.17,5.14,4.94,5.68,6.31,5.39,5.82,7.73,7.77,7.75,8.06,8.3,8.05,7.54,0.934689863,0.936087324,0.949948496,0.95361252,0.959342166,0.9620682,0.974866514,0.017776394,0.009057561,0.114693088,0.041404487,-0.053056697,0.123164971,0.130035901
4.7,4.69,5.17,5.14,4.94,5.68,6.31,5.39,7.19,7.73,7.77,7.75,8.06,8.3,8.05,0.935412485,0.934689863,0.936087324,0.949948496,0.95361252,0.959342166,0.9620682,0.002788224,0.017776394,0.009057561,0.114693088,0.041404487,-0.053056697,0.123164971
2.2,4.63,4.69,5.17,5.14,4.94,5.68,6.31,7.35,7.19,7.73,7.77,7.75,8.06,8.3,0.939610816,0.935412485,0.934689863,0.936087324,0.949948496,0.95361252,0.959342166,-0.039794398,0.002788224,0.017776394,0.009057561,0.114693088,0.041404487,-0.053056697
3.9,4.82,4.63,4.69,5.17,5.14,4.94,5.68,7.37,7.35,7.19,7.73,7.77,7.75,8.06,0.942736845,0.939610816,0.935412485,0.934689863,0.936087324,0.949948496,0.95361252,-0.017571092,-0.039794398,0.002788224,0.017776394,0.009057561,0.114693088,0.041404487
