EXPERT_0,EXPERT_1,EXPERT_2,EXPERT_3,EXPERT_4,EXPERT_4_delta
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
2.441488194,2.495886806,2.563159028,2.665565972,2.634338889,2.634338889
3.5359,3.2081,3.1474,3.1577,3.6362,2.634338889
-0.3125,0.5583,2.2234,5.6783,4.0884,3.6362
1.6323,2.2189,3.8815,3.6728,2.4945,4.0884
0.1464,3.3937,3.2165,3.3628,2.9697,2.4945
3.5141,3.5468,2.6633,2.6178,3.2936,2.9697
2.4886,2.6198,2.8883,3.2865,3.8555,3.2936
2.4253,2.9066,3.5972,3.8421,3.3688,3.8555
3.8633,4.3139,3.9194,3.7224,3.5569,3.3688
5.0091,4.9958,3.7221,3.6424,3.5795,3.5569
5.3056,3.6743,3.2217,3.2588,3.4824,3.5795
4.9185,3.81,3.1313,3.3192,2.6678,3.4824
4.1213,3.6184,3.2871,2.6159,2.3353,2.6678
4.6507,4.1762,2.423,3.2349,2.4837,2.3353
4.3077,3.5926,3.4189,3.0315,2.7465,2.4837
5.0693,4.0656,3.5973,3.6005,3.1092,2.7465
3.6481,3.1638,3.1081,2.7537,2.6495,3.1092
2.5019,2.6088,2.8355,2.468,2.2697,2.6495
0.4309,2.6584,2.2604,2.3377,2.0738,2.2697
4.6503,2.8243,2.6265,2.5291,1.9273,2.0738
2.7678,3.335,2.4634,2.6095,2.5631,1.9273
2.6851,2.1379,3.1058,2.1433,2.3791,2.5631
-0.3348,2.0982,2.4267,2.7763,2.7054,2.3791
1.646,1.1864,1.1625,1.7526,1.234,2.7054
2.6683,2.6506,2.0682,2.5198,2.5395,1.234
3.8957,2.1961,2.6082,1.9682,2.2389,2.5395
0.2296,1.8918,0.8365,2.4933,1.5147,2.2389
3.3406,0.7754,2.0557,1.2467,2.1027,1.5147
2.5314,2.0082,1.523,2.1685,1.97,2.1027
2.4552,1.7817,1.3799,2.5042,1.911,1.97
2.3143,2.2053,2.4908,2.1443,1.5935,1.911
1.576,2.3285,1.8335,1.4777,1.6719,1.5935
3.4425,1.9093,2.5905,3.0448,1.7207,1.6719
2.5812,1.9768,0.7815,3.0089,1.7827,1.7207
-0.2793,2.7447,1.4557,2.2862,2.1939,1.7827
2.9701,2.5966,3.0417,4.2402,2.9381,2.1939
2.3901,2.243,2.016,1.7666,2.2602,2.9381
1.9258,1.1515,1.4962,1.7495,2.8995,2.2602
-1.2253,-0.5211,0.5681,1.858,2.1582,2.8995
-1.3346,0.3159,1.8357,2.3685,2.5046,2.1582
1.0795,1.6859,2.3229,2.4167,2.3353,2.5046
2.218,1.9502,2.4246,2.6694,2.4771,2.3353
1.1865,2.1406,2.5386,2.584,2.8521,2.4771
1.3484,2.229,2.5848,2.6757,2.7909,2.8521
1.846,2.5884,2.6075,2.6045,2.6567,2.7909
2.3014,2.2149,2.4371,2.4816,2.5926,2.6567
2.3654,2.4226,2.1353,3.0243,2.791,2.5926
2.762,2.8627,3.1644,3.193,2.891,2.791
2.9962,3.2075,3.0768,2.9019,2.6989,2.891
2.9312,2.6754,2.591,2.4348,2.2922,2.6989
2.9923,2.2411,3.079,2.899,2.7705,2.2922
2.8159,2.8522,2.9687,2.8185,2.5332,2.7705
3.5593,2.9712,2.8412,2.5349,2.5736,2.5332
3.083,2.6588,2.4052,2.3625,2.4225,2.5736
3.4905,3.001,2.6618,2.4558,2.4239,2.4225
3.109,3.0137,2.5355,2.4442,2.7746,2.4239
2.3391,2.541,2.5775,2.4153,2.3186,2.7746
2.4555,2.4013,2.4168,2.2327,2.0728,2.3186
2.3675,2.5995,2.3233,2.4113,2.0764,2.0728
1.4202,2.1421,2.1419,2.2263,2.1889,2.0764
2.3955,2.1192,1.9657,2.0625,2.1197,2.1889
2.126,2.3959,2.1716,1.9027,2.0968,2.1197
2.6238,2.3706,2.1308,1.9884,2.1893,2.0968
2.9681,2.3509,2.2533,2.2309,2.3434,2.1893
2.3381,2.5989,2.6112,2.2809,2.0639,2.3434
3.2339,2.8944,2.525,2.3167,2.1907,2.0639
2.5518,2.7459,2.6371,2.329,2.2346,2.1907
3.4238,2.8354,2.7336,2.6107,2.774,2.2346
3.3399,3.1737,3.0925,2.9161,2.5714,2.774
3.1397,3.4441,2.9398,2.7329,2.8883,2.5714
3.3867,2.5877,2.3962,2.1495,2.6409,2.8883
3.5813,2.9416,2.6444,2.7123,2.167,2.6409
3.5613,2.8673,2.8438,2.3342,2.5933,2.167
3.373,2.9328,2.6715,2.5073,2.7184,2.5933
3.3306,2.8644,3.0829,3.0794,2.8946,2.7184
3.8119,3.1749,3.0737,2.8835,2.3696,2.8946
3.5626,3.4402,3.2901,2.8118,2.9198,2.3696
3.5838,3.2249,2.9475,2.739,2.9529,2.9198
3.6498,3.0358,2.8866,2.9422,3.2091,2.9529
2.1147,2.0811,2.7958,3.0948,3.2192,3.2091
1.7034,2.054,2.5782,3.0092,3.1581,3.2192
2.374,2.7313,2.6164,2.7953,2.7538,3.1581
0.0823,-0.6724,2.1271,2.8029,3.1173,2.7538
-0.6117,1.8825,2.4756,2.9893,2.9785,3.1173
2.9445,2.493,2.952,3.0171,3.0977,2.9785
3.0812,2.4416,2.8941,2.9463,3.1162,3.0977
1.3477,2.3455,2.8435,3.0051,3.1563,3.1162
2.1721,2.3321,2.9841,3.2113,3.5957,3.1563
2.1294,2.9783,3.2863,3.3752,3.1297,3.5957
3.5644,3.4963,3.5236,3.3706,3.4019,3.1297
2.544,3.3617,3.4158,3.5811,3.4505,3.4019
3.6097,3.7478,3.4784,3.43,3.1033,3.4505
3.8789,3.5498,3.185,3.405,3.6132,3.1033
3.0056,3.1705,3.2239,3.1125,3.6315,3.6132
3.0093,3.009,2.9611,3.1674,3.3058,3.6315
3.0605,3.1525,3.1506,3.1604,3.0234,3.3058
3.2288,3.2462,3.1649,3.1751,3.1376,3.0234
3.6633,2.9507,3.237,3.216,3.1773,3.1376
1.2753,3.1224,3.1794,3.0666,3.1398,3.1773
3.8445,2.8865,2.9571,2.9,2.9989,3.1398
2.7901,2.918,2.9265,2.8561,2.8892,2.9989
2.8141,2.6247,2.5821,2.5363,2.7995,2.8892
2.9149,2.6736,2.4781,2.5745,2.5744,2.7995
3.1218,2.6171,2.7756,2.8475,2.7932,2.5744
2.1794,2.6011,2.6371,2.9764,2.6263,2.7932
2.1832,2.3688,2.4282,2.4381,2.4103,2.6263
2.0452,2.011,2.1556,2.3337,2.5006,2.4103
0.8472,1.3273,2.4965,2.3645,2.6562,2.5006
0.9327,2.1364,1.1857,1.6151,2.1536,2.6562
0.5873,0.0805,1.0607,1.863,2.1517,2.1536
-2.777,-0.1098,0.8246,1.6859,1.9044,2.1517
-2.306,-0.2914,1.0169,1.7009,2.0769,1.9044
0.1277,1.039,1.5143,1.8485,2.2335,2.0769
1.6768,1.0908,1.693,2.0269,2.0962,2.2335
0.6724,1.6373,1.9354,2.2262,2.3292,2.0962
1.8084,2.1754,2.3565,2.4314,2.5022,2.3292
2.8647,2.7403,2.759,2.5589,2.647,2.5022
2.353,2.2531,2.3177,2.5707,2.6663,2.647
2.3429,2.2469,2.3366,2.5686,2.7036,2.6663
3.0407,3.0458,3.0052,2.9767,2.5739,2.7036
2.6618,2.8679,2.9024,2.6635,2.7634,2.5739
2.2118,2.167,2.0366,2.2804,2.4232,2.7634
2.3046,2.1376,2.2962,2.3806,2.5512,2.4232
2.3628,2.3445,2.4294,2.5723,2.4989,2.5512
2.2537,2.432,2.4363,2.258,2.4319,2.4989
1.9091,2.1117,1.9357,2.1786,2.4001,2.4319
2.2007,1.4965,2.2686,2.2974,2.549,2.4001
1.7354,1.9021,2.3343,2.2076,2.7761,2.549
1.9972,2.3171,2.527,2.5541,2.7201,2.7761
2.2158,2.3958,2.4682,2.6323,2.6162,2.7201
2.1853,2.5575,2.5799,2.617,2.6353,2.6162
2.6073,2.6335,2.7056,2.809,2.8548,2.6353
2.7274,2.7332,2.8856,2.8439,2.7638,2.8548
2.6847,2.7838,2.8155,2.8592,2.7362,2.7638
2.5874,2.7695,2.6813,2.6814,2.6358,2.7362
3.2039,3.197,3.0707,2.89,2.7928,2.6358
3.0932,2.9983,3.0403,2.6309,2.5687,2.7928
3.1163,2.9692,2.8042,2.7676,2.7346,2.5687
2.9825,2.7961,2.8311,2.8084,2.7517,2.7346
2.5884,2.5854,2.5864,2.4892,2.3185,2.7517
2.6496,2.5509,2.4775,2.3425,2.4459,2.3185
2.6842,2.4363,2.3227,2.4044,2.351,2.4459
2.4228,2.148,2.5345,2.4511,2.3362,2.351
