DATE,DPCERL1Q225SBEA,DPCERL1Q225SBEA_delta,CP,CP_delta,W875RX1,W875RX1_delta,PSAVERT,PSAVERT_delta,PAYEMS,PAYEMS_delta,UNRATE,UNRATE_delta,POP,POP_delta,CIVPART,CIVPART_delta,INDPRO,INDPRO_delta,USTRADE,USTRADE_delta,TOTALSA,TOTALSA_delta,TOTALSL,TOTALSL_delta,HOUST,HOUST_delta,CPIAUCSL,CPIAUCSL_delta,CSUSHPISA,CSUSHPISA_delta,WTISPLC,WTISPLC_delta,BASE,BASE_delta,BAA10YM,BAA10YM_delta,FF,FF_delta,DGS10,DGS10_delta,TWEXM,TWEXM_delta,UMCSENT,UMCSENT_delta,SANDP,SANDP_delta,Household Debt,Household Debt_delta
1952_4,14.9,2,9.85915,1.42857,0.746123405,0.746123405,8.329613734,8.329613734,2.18055,0.57507,2.8,3.2,0.44613,0.41937,59,58.9,7.15776,2.92568,0.16792,0.08188,0.276651371,0.276651371,5.67227,5.2156,0.232559655,0.232559655,0.1125,0.67958,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-2.54777458,3.887514475,2.024291498,3.781512605
1953_1,4.8,14.9,3.84615,9.85915,0.746123405,0.746123405,8.329613734,8.329613734,0.92461,2.18055,2.7,2.8,0.41576,0.44613,59.5,59,1.98897,7.15776,0.96931,0.16792,0.276651371,0.276651371,6.6193,5.67227,0.232559655,0.232559655,-0.28842,0.1125,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,8.415036765,-2.54777458,3.174603175,2.024291498
1953_2,2.4,4.8,0,3.84615,0.746123405,0.746123405,8.329613734,8.329613734,0.32194,0.92461,2.6,2.7,0.36943,0.41576,58.9,59.5,1.39363,1.98897,0.5726,0.96931,0.276651371,0.276651371,4.34975,6.6193,0.232559655,0.232559655,0.37566,-0.28842,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.77,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-4.860591377,8.415036765,0.384615385,3.174603175
1953_3,-0.9,2.4,-2.05761,0,0.746123405,0.746123405,8.329613734,8.329613734,-0.03764,0.32194,2.7,2.6,0.43693,0.36943,58.7,58.9,0.0914,1.39363,1.30164,0.5726,0.276651371,0.276651371,2.12023,4.34975,0.232559655,0.232559655,0.46033,0.37566,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.95,0.77,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-4,-4.860591377,2.681992337,0.384615385
1953_4,-2.6,-0.9,-20.16807,-2.05761,0.746123405,0.746123405,8.329613734,8.329613734,-1.01659,-0.03764,3.7,2.7,0.47865,0.43693,58.5,58.7,-4.71348,0.0914,-2.53432,1.30164,0.276651371,0.276651371,1.64365,2.12023,0.232559655,0.232559655,0.17509,0.46033,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.13,0.95,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-3.094059406,-4,0.746268657,2.681992337
1954_1,1.5,-2.6,13.68421,-20.16807,0.746123405,0.746123405,8.329613734,8.329613734,-1.22923,-1.01659,5.3,3.7,0.42861,0.47865,59,58.5,-3.17033,-4.71348,1.99357,-2.53432,0.276651371,0.276651371,0.53247,1.64365,0.232559655,0.232559655,0.23429,0.17509,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.17,1.13,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,6.21541507,-3.094059406,2.962962963,0.746268657
1954_2,5.3,1.5,2.77778,13.68421,0.746123405,0.746123405,8.329613734,8.329613734,-0.65469,-1.22923,5.8,5.3,0.40702,0.42861,58.9,59,-0.39696,-3.17033,0.21438,1.99357,0.276651371,0.276651371,-0.0468,0.53247,0.232559655,0.232559655,-0.15954,0.23429,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.13,1.17,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,8.897791227,6.21541507,0,2.962962963
1954_3,5.5,5.3,6.30631,2.77778,0.746123405,0.746123405,8.329613734,8.329613734,-0.33869,-0.65469,6,5.8,0.4472,0.40702,58.8,58.9,0.49791,-0.39696,0.07969,0.21438,0.276651371,0.276651371,0.96556,-0.0468,0.232559655,0.232559655,-0.26013,-0.15954,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.14,1.13,1.02,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,7.508277512,8.897791227,4.316546763,0
1954_4,8.7,5.5,7.20339,6.30631,0.746123405,0.746123405,8.329613734,8.329613734,0.62235,-0.33869,5.3,6,0.49359,0.4472,58.5,58.8,2.77545,0.49791,0.08173,0.07969,0.276651371,0.276651371,1.75766,0.96556,0.232559655,0.232559655,-0.30924,-0.26013,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.98,1.14,0.98,1.02,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,10.54434134,7.508277512,2.413793103,4.316546763
1955_1,9.3,8.7,12.25296,7.20339,0.746123405,0.746123405,8.329613734,8.329613734,1.119,0.62235,4.7,5.3,0.429,0.49359,58.5,58.5,5.39995,2.77545,-0.02094,0.08173,0.276651371,0.276651371,3.68047,1.75766,0.232559655,0.232559655,0.13454,-0.30924,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.82,0.98,1.34,0.98,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,13.81232227,10.54434134,3.703703704,2.413793103
1955_2,7.9,9.3,1.40845,12.25296,0.746123405,0.746123405,8.329613734,8.329613734,1.63981,1.119,4.4,4.7,0.40351,0.429,58.9,58.5,4.34622,5.39995,-0.00628,-0.02094,0.276651371,0.276651371,5.26811,3.68047,0.232559655,0.232559655,-0.13436,0.13454,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.74,0.82,1.5,1.34,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,0.544220408,13.81232227,0.974025974,3.703703704
1955_3,5,7.9,2.77778,1.40845,0.746123405,0.746123405,8.329613734,8.329613734,1.19368,1.63981,4.1,4.4,0.44056,0.40351,59.6,58.9,1.53434,4.34622,0.42307,-0.00628,0.276651371,0.276651371,4.97566,5.26811,0.232559655,0.232559655,0.07475,-0.13436,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.61,0.74,1.93,1.5,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,11.47496045,0.544220408,3.215434084,0.974025974
1955_4,5.1,5,4.05405,2.77778,0.746123405,0.746123405,8.329613734,8.329613734,0.95855,1.19368,4.2,4.1,0.49158,0.44056,60,59.6,2.37454,1.53434,0.10428,0.42307,0.276651371,0.276651371,4.12324,4.97566,0.232559655,0.232559655,0.29876,0.07475,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.69,0.61,2.35,1.93,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,3.156113211,11.47496045,1.557632399,3.215434084
1956_1,0.6,5.1,-1.94805,4.05405,0.746123405,0.746123405,8.329613734,8.329613734,1.04052,0.95855,4,4.2,0.43649,0.49158,60,60,0.37983,2.37454,0.11875,0.10428,0.276651371,0.276651371,3.07642,4.12324,0.232559655,0.232559655,0.01117,0.29876,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.69,0.69,2.48,2.35,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,6.283826487,3.156113211,1.840490798,1.557632399
1956_2,1.3,0.6,2.98013,-1.94805,0.746123405,0.746123405,8.329613734,8.329613734,0.65585,1.04052,4.2,4,0.41372,0.43649,60.1,60,-0.42008,0.37983,0.1748,0.11875,0.276651371,0.276651371,2.62006,3.07642,0.232559655,0.232559655,0.65897,0.01117,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.64,0.69,2.69,2.48,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,7.838797609,6.283826487,-0.301204819,1.840490798
1956_3,0.9,1.3,-4.18006,2.98013,0.746123405,0.746123405,8.329613734,8.329613734,-0.17718,0.65585,4.1,4.2,0.44823,0.41372,60,60.1,-0.54882,-0.42008,-0.40092,0.1748,0.276651371,0.276651371,1.68725,2.62006,0.232559655,0.232559655,1.03562,0.65897,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.66,0.64,2.8,2.69,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-3.634498899,7.838797609,2.114803625,-0.301204819
1956_4,5.6,0.9,5.36913,-4.18006,0.746123405,0.746123405,8.329613734,8.329613734,0.85695,-0.17718,4.1,4.1,0.5077,0.44823,59.8,60,3.64881,-0.54882,0.79673,-0.40092,0.276651371,0.276651371,1.74738,1.68725,0.232559655,0.232559655,0.85295,1.03562,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.79,0.66,2.93,2.8,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-4.751755807,-3.634498899,0.887573964,2.114803625
1957_1,2.8,5.6,0.95541,5.36913,0.746123405,0.746123405,8.329613734,8.329613734,0.38415,0.85695,3.9,4.1,0.44045,0.5077,59.7,59.8,0.94168,3.64881,0.37039,0.79673,0.276651371,0.276651371,1.62369,1.74738,0.232559655,0.232559655,0.82396,0.85295,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.06,0.79,2.94,2.93,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,3.355704623,-4.751755807,1.759530792,0.887573964
1957_2,0.7,2.8,-4.10095,0.95541,0.746123405,0.746123405,8.329613734,8.329613734,0.19605,0.38415,4.1,3.9,0.411,0.44045,59.6,59.7,-1.25741,0.94168,0.2845,0.37039,0.276651371,0.276651371,1.7158,1.62369,0.232559655,0.232559655,0.84962,0.82396,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.9,1.06,3,2.94,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-4.458878691,3.355704623,-0.864553314,1.759530792
1957_3,3.2,0.7,-2.30263,-4.10095,0.746123405,0.746123405,8.329613734,8.329613734,-0.17121,0.19605,4.2,4.1,0.44081,0.411,59.6,59.6,0.36985,-1.25741,0.36592,0.2845,0.276651371,0.276651371,1.71037,1.7158,0.232559655,0.232559655,0.89244,0.84962,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.9,0.9,3.21,3,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,7.453559299,-4.458878691,1.744186047,-0.864553314
